clade_name	clade_taxid	SRR6784512_metaphlan	SRR6784531_metaphlan	SRR6784521_metaphlan	SRR6784526_metaphlan	SRR6784543_metaphlan	SRR6784517_metaphlan	SRR6784513_metaphlan	SRR6784414_metaphlan	SRR6784516_metaphlan	SRR6784403_metaphlan	SRR6784577_metaphlan	SRR6784570_metaphlan	SRR6784534_metaphlan	SRR6784595_metaphlan	SRR6784528_metaphlan	SRR6784585_metaphlan	SRR6784560_metaphlan	SRR6784561_metaphlan	SRR6784540_metaphlan	SRR6784520_metaphlan	SRR6784598_metaphlan	SRR6784574_metaphlan	SRR6784525_metaphlan	SRR6784535_metaphlan	SRR6784527_metaphlan	SRR6784553_metaphlan	SRR6784583_metaphlan	SRR6784589_metaphlan	SRR6784569_metaphlan	SRR6784510_metaphlan	SRR6784537_metaphlan	SRR6784523_metaphlan	SRR6784536_metaphlan	SRR6784566_metaphlan	SRR6784405_metaphlan	SRR6784410_metaphlan	SRR6784556_metaphlan	SRR6784576_metaphlan	SRR6784571_metaphlan	SRR6784575_metaphlan	SRR6784573_metaphlan	SRR6784578_metaphlan	SRR6784511_metaphlan	SRR6784411_metaphlan	SRR6784406_metaphlan	SRR6784544_metaphlan	SRR6784596_metaphlan	SRR6784591_metaphlan	SRR6784550_metaphlan	SRR6784552_metaphlan	SRR6784529_metaphlan	SRR6784597_metaphlan	SRR6784563_metaphlan	SRR6784514_metaphlan	SRR6784592_metaphlan	SRR6784413_metaphlan	SRR6784594_metaphlan	SRR6784568_metaphlan	SRR6784587_metaphlan	SRR6784586_metaphlan	SRR6784593_metaphlan	SRR6784567_metaphlan	SRR6784519_metaphlan	SRR6784524_metaphlan	SRR6784590_metaphlan	SRR6784515_metaphlan	SRR6784546_metaphlan	SRR6784565_metaphlan	SRR6784539_metaphlan	SRR6784582_metaphlan	SRR6784584_metaphlan	SRR6784564_metaphlan	SRR6784532_metaphlan	SRR6784580_metaphlan	SRR6784555_metaphlan	SRR6784549_metaphlan	SRR6784412_metaphlan	SRR6784542_metaphlan	SRR6784409_metaphlan	SRR6784557_metaphlan	SRR6784538_metaphlan	SRR6784562_metaphlan	SRR6784554_metaphlan	SRR6784408_metaphlan	SRR6784522_metaphlan	SRR6784559_metaphlan	SRR6784547_metaphlan	SRR6784572_metaphlan	SRR6784588_metaphlan	SRR6784581_metaphlan	SRR6784530_metaphlan	SRR6784545_metaphlan	SRR6784404_metaphlan	SRR6784558_metaphlan	SRR6784579_metaphlan	SRR6784518_metaphlan	SRR6784533_metaphlan	SRR6784548_metaphlan	SRR6784551_metaphlan	SRR6784541_metaphlan
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis|t__SGB363	2157|2283796|183967|1235850|1577788|1080709|1406512|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136342.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344.0	8953.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5386.0	0	0	0	0	0	0	0	0	0	0	161644.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified	2157|2283796|183967|1235850|	0	0	0	0	0	0	0	0	0	0	0	0	82590.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified	2157|2283796|183967|1235850||	0	0	0	0	0	0	0	0	0	0	0	0	82590.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified|s__Methanomassiliicoccales_archaeon	2157|2283796|183967|1235850|||1906667	0	0	0	0	0	0	0	0	0	0	0	0	82590.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified|s__Methanomassiliicoccales_archaeon|t__SGB376	2157|2283796|183967|1235850|||1906667|	0	0	0	0	0	0	0	0	0	0	0	0	82590.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	5103120.0	0	0	215.0	0	0	0	471.0	0	0	14375.0	0	2013.0	0	0	4166.0	0	52497.0	0	0	0	0	0	0	0	0	0	6104.0	4529.0	0	6185.0	423.0	10241.0	16661.0	0	0	0	77828.0	0	0	7115.0	0	0	1863.0	0	316409.0	0	260.0	0	7364.0	0	0	9071.0	0	0	474.0	0	11630.0	15170.0	0	0	0	0	0	0	1803.0	9070.0	0	0	0	9995.0	0	0	0	0	0	0	78.0	0	0	0	33558.0	0	3107.0	2700.0	4597.0	10148.0	0	8001.0	8468.0	0	0	0	3719.0	0	0	4419.0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB343	2157|28890|	5103120.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4166.0	0	0	0	0	0	0	0	0	0	0	0	6104.0	4529.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7364.0	0	0	9071.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9813.0	0	0	0	4597.0	0	0	0	8468.0	0	0	0	3719.0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343	2157|28890||	5103120.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4166.0	0	0	0	0	0	0	0	0	0	0	0	6104.0	4529.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7364.0	0	0	9071.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9813.0	0	0	0	4597.0	0	0	0	8468.0	0	0	0	3719.0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343|f__FGB343	2157|28890|||	5103120.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4166.0	0	0	0	0	0	0	0	0	0	0	0	6104.0	4529.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7364.0	0	0	9071.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9813.0	0	0	0	4597.0	0	0	0	8468.0	0	0	0	3719.0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343|f__FGB343|g__GGB781	2157|28890||||	5103120.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4166.0	0	0	0	0	0	0	0	0	0	0	0	6104.0	4529.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7364.0	0	0	9071.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9813.0	0	0	0	4597.0	0	0	0	8468.0	0	0	0	3719.0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343|f__FGB343|g__GGB781|s__GGB781_SGB1024	2157|28890|||||	5103120.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4166.0	0	0	0	0	0	0	0	0	0	0	0	6104.0	4529.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7364.0	0	0	9071.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9813.0	0	0	0	4597.0	0	0	0	8468.0	0	0	0	3719.0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343|f__FGB343|g__GGB781|s__GGB781_SGB1024|t__SGB1024	2157|28890||||||	5103120.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4166.0	0	0	0	0	0	0	0	0	0	0	0	6104.0	4529.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7364.0	0	0	9071.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9813.0	0	0	0	4597.0	0	0	0	8468.0	0	0	0	3719.0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	215.0	0	0	0	471.0	0	0	14375.0	0	2013.0	0	0	0	0	52497.0	0	0	0	0	0	0	0	0	0	0	0	0	6185.0	423.0	10241.0	16661.0	0	0	0	77828.0	0	0	7115.0	0	0	1863.0	0	316409.0	0	260.0	0	0	0	0	0	0	0	474.0	0	11630.0	15170.0	0	0	0	0	0	0	1803.0	9070.0	0	0	0	9995.0	0	0	0	0	0	0	78.0	0	0	0	23745.0	0	3107.0	2700.0	0	10148.0	0	8001.0	0	0	0	0	0	0	0	4419.0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	215.0	0	0	0	471.0	0	0	14375.0	0	2013.0	0	0	0	0	52497.0	0	0	0	0	0	0	0	0	0	0	0	0	6185.0	423.0	10241.0	16661.0	0	0	0	77828.0	0	0	7115.0	0	0	1863.0	0	316409.0	0	260.0	0	0	0	0	0	0	0	474.0	0	11630.0	15170.0	0	0	0	0	0	0	1803.0	9070.0	0	0	0	9995.0	0	0	0	0	0	0	78.0	0	0	0	23745.0	0	3107.0	2700.0	0	10148.0	0	8001.0	0	0	0	0	0	0	0	4419.0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	215.0	0	0	0	471.0	0	0	14375.0	0	2013.0	0	0	0	0	52497.0	0	0	0	0	0	0	0	0	0	0	0	0	6185.0	423.0	10241.0	16661.0	0	0	0	77828.0	0	0	7115.0	0	0	1863.0	0	316409.0	0	260.0	0	0	0	0	0	0	0	474.0	0	11630.0	15170.0	0	0	0	0	0	0	1803.0	9070.0	0	0	0	9995.0	0	0	0	0	0	0	78.0	0	0	0	23745.0	0	3107.0	2700.0	0	10148.0	0	8001.0	0	0	0	0	0	0	0	4419.0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0	215.0	0	0	0	471.0	0	0	14375.0	0	2013.0	0	0	0	0	52497.0	0	0	0	0	0	0	0	0	0	0	0	0	6185.0	423.0	10241.0	16661.0	0	0	0	77454.0	0	0	5678.0	0	0	1863.0	0	316409.0	0	260.0	0	0	0	0	0	0	0	474.0	0	11630.0	15170.0	0	0	0	0	0	0	1803.0	9070.0	0	0	0	9995.0	0	0	0	0	0	0	78.0	0	0	0	23745.0	0	3107.0	2700.0	0	10148.0	0	8001.0	0	0	0	0	0	0	0	4419.0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_arboriphilus	2157|28890|183925|2158|2159|2172|39441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6136.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_arboriphilus|t__SGB701	2157|28890|183925|2158|2159|2172|39441|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6136.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	0	215.0	0	0	0	471.0	0	0	14375.0	0	2013.0	0	0	0	0	52497.0	0	0	0	0	0	0	0	0	0	0	0	0	49.0	423.0	10241.0	16661.0	0	0	0	77454.0	0	0	5678.0	0	0	1863.0	0	316409.0	0	260.0	0	0	0	0	0	0	0	474.0	0	11630.0	15170.0	0	0	0	0	0	0	1803.0	9070.0	0	0	0	9995.0	0	0	0	0	0	0	78.0	0	0	0	23745.0	0	3107.0	2700.0	0	10148.0	0	8001.0	0	0	0	0	0	0	0	4419.0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__SGB714_group	2157|28890|183925|2158|2159|2172|2173|	0	0	0	215.0	0	0	0	471.0	0	0	14375.0	0	2013.0	0	0	0	0	52497.0	0	0	0	0	0	0	0	0	0	0	0	0	49.0	423.0	10241.0	16661.0	0	0	0	77454.0	0	0	5678.0	0	0	1863.0	0	316409.0	0	260.0	0	0	0	0	0	0	0	474.0	0	11630.0	15170.0	0	0	0	0	0	0	1803.0	9070.0	0	0	0	9995.0	0	0	0	0	0	0	78.0	0	0	0	23745.0	0	3107.0	2700.0	0	10148.0	0	8001.0	0	0	0	0	0	0	0	4419.0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374.0	0	0	1437.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374.0	0	0	1437.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__SGB698	2157|28890|183925|2158|2159|2316|2317|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374.0	0	0	1437.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	165652212.0	67642943.0	59141463.0	104264457.0	46234313.0	38541166.0	47331179.0	23764568.0	34641313.0	24914327.0	49741358.0	45092377.0	59272525.0	40782737.0	41709424.0	30603359.0	66193310.0	41842168.0	41428989.0	20851599.0	21330414.0	85639472.0	58070622.0	40121340.0	45768164.0	191798460.0	83831682.0	45501216.0	27957068.0	106786898.0	71775007.0	52944560.0	56282062.0	150152082.0	163947986.0	13366264.0	116008449.0	119426648.0	23449843.0	14375202.0	25473433.0	85668163.0	53300178.0	18283083.0	91231645.0	71635241.0	63579238.0	78067465.0	36468236.0	54329050.0	46228533.0	33971046.0	46461365.0	49357096.0	8761996.0	44646055.0	30025928.0	59525998.0	31519197.0	92630914.0	9133790.0	43743558.0	34404585.0	67751289.0	69370778.0	29980993.0	32652816.0	52948334.0	65964515.0	16217822.0	45187212.0	29640333.0	39720414.0	48209342.0	74321159.0	81671247.0	30222978.0	27964661.0	37581202.0	60020896.0	63994076.0	57977477.0	12572724.0	19589517.0	35409773.0	33430017.0	12508730.0	63577417.0	39556248.0	59368078.0	50592187.0	26039719.0	97959113.0	36717703.0	75188704.0	82076960.0	60908259.0	45257147.0	29772403.0	53352413.0
